programme_code,programme_name,question,option_A,option_B,option_C,option_D,answer,answer_text
UDP,Urban Development Programme (UDP),Which area is MOST central to Urban Development Programme (UDP)?,social empowerment and legal aid,primary and non-formal education,disaster risk reduction and preparedness,urban services and inclusive city development,D,urban services and inclusive city development
UDP,Urban Development Programme (UDP),Who are the primary participants/beneficiaries for Urban Development Programme (UDP)?,low-income urban residents,youth and jobseekers,school-age children,people affected by crises,A,low-income urban residents
UDP,Urban Development Programme (UDP),Which activity best matches Urban Development Programme (UDP)’s core work?,multi-sector services through one platform,improving access to basic services in informal settlements,community-based disaster preparedness and early warning,production and sale of plant saplings,B,improving access to basic services in informal settlements
UDP,Urban Development Programme (UDP),Which Sustainable Development Goal aligns BEST with Urban Development Programme (UDP)?,SDG 8: Decent Work and Economic Growth,"SDG 16: Peace, Justice and Strong Institutions",SDG 11: Sustainable Cities and Communities,SDG 5: Gender Equality,C,SDG 11: Sustainable Cities and Communities
UDP,Urban Development Programme (UDP),Urban Development Programme (UDP) operates primarily in which setting?,cities and towns,rural and urban communities,"schools, campuses and communities",rural and urban learning spaces,A,cities and towns
UDP,Urban Development Programme (UDP),Which indicator BEST reflects success for Urban Development Programme (UDP)?,repayment rates and enterprise growth,number of neighbourhoods with better services and governance,sustained income and asset growth,cases resolved and referrals supported,B,number of neighbourhoods with better services and governance
UDP,Urban Development Programme (UDP),Urban Development Programme (UDP) commonly partners with which stakeholders?,"schools, parents and communities",local organisations and mentors,city corporations and local government bodies,internal programmes and tech partners,C,city corporations and local government bodies
UDP,Urban Development Programme (UDP),What is the MAIN delivery channel used by Urban Development Programme (UDP)?,"apps, data systems and support desks",community platforms and ward-level forums,work-based learning and certification,coaching visits and group platforms,B,community platforms and ward-level forums
UDP,Urban Development Programme (UDP),Which innovation is TYPICAL of Urban Development Programme (UDP)?,diverse species and better propagation,neighbourhood upgrading and co-designed service solutions,paralegal support and safe referral systems,gender audits and inclusive design,B,neighbourhood upgrading and co-designed service solutions
UDP,Urban Development Programme (UDP),Which risk or challenge is Urban Development Programme (UDP) MOST concerned with?,preventable illness and access gaps,"violence, exploitation and legal exclusion",urban disaster and infrastructure gaps,learning gaps and foundational skill deficits,C,urban disaster and infrastructure gaps
DRMP,Disaster Risk Management Programme (DRMP),Which area is MOST central to Disaster Risk Management Programme (DRMP)?,youth leadership and opportunities,saplings and horticulture,disaster risk reduction and preparedness,digital platforms and IT services,C,disaster risk reduction and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Who are the primary participants/beneficiaries for Disaster Risk Management Programme (DRMP)?,young people,low-income entrepreneurs,hazard-exposed communities,low-income urban residents,C,hazard-exposed communities
DRMP,Disaster Risk Management Programme (DRMP),Which activity best matches Disaster Risk Management Programme (DRMP)’s core work?,advocacy campaigns and policy dialogue,self-learning worksheets and guided practice,community-based disaster preparedness and early warning,"milk collection, processing and distribution",C,community-based disaster preparedness and early warning
DRMP,Disaster Risk Management Programme (DRMP),Which Sustainable Development Goal aligns BEST with Disaster Risk Management Programme (DRMP)?,SDG 5: Gender Equality,SDG 3: Good Health and Well-being,SDG 13: Climate Action,"SDG 16: Peace, Justice and Strong Institutions",C,SDG 13: Climate Action
DRMP,Disaster Risk Management Programme (DRMP),Disaster Risk Management Programme (DRMP) operates primarily in which setting?,community justice and referral networks,learning centres and home study,flood- and cyclone-prone areas,training centres and workplaces,C,flood- and cyclone-prone areas
DRMP,Disaster Risk Management Programme (DRMP),Which indicator BEST reflects success for Disaster Risk Management Programme (DRMP)?,households reached across multiple services,clients counselled and safe migration outcomes,households with preparedness plans and trained volunteers,people reached with timely support,C,households with preparedness plans and trained volunteers
DRMP,Disaster Risk Management Programme (DRMP),Disaster Risk Management Programme (DRMP) commonly partners with which stakeholders?,disaster management committees and volunteers,local government and programme clusters,growers and local distributors,"ministries, CSOs and networks",A,disaster management committees and volunteers
DRMP,Disaster Risk Management Programme (DRMP),What is the MAIN delivery channel used by Disaster Risk Management Programme (DRMP)?,"apps, data systems and support desks",capacity building and advocacy,"risk alerts, drills and training",household visits and health campaigns,C,"risk alerts, drills and training"
DRMP,Disaster Risk Management Programme (DRMP),Which innovation is TYPICAL of Disaster Risk Management Programme (DRMP)?,community early warning and contingency planning,pre-departure orientation and referrals,evidence-led messaging and storytelling,paralegal support and safe referral systems,A,community early warning and contingency planning
DRMP,Disaster Risk Management Programme (DRMP),Which risk or challenge is Disaster Risk Management Programme (DRMP) MOST concerned with?,"fraud, exploitation and misinformation",low awareness and limited participation,discrimination and harmful norms,"cyclones, floods and storm surges",D,"cyclones, floods and storm surges"
CCP,Climate Change Programme (CCP),Which area is MOST central to Climate Change Programme (CCP)?,climate adaptation and resilience,dairy processing and nutrition,migration support services,social behaviour change and citizen voice,A,climate adaptation and resilience
CCP,Climate Change Programme (CCP),Who are the primary participants/beneficiaries for Climate Change Programme (CCP)?,hazard-exposed communities,households and farmers,climate-vulnerable households,households and schools,C,climate-vulnerable households
CCP,Climate Change Programme (CCP),Which activity best matches Climate Change Programme (CCP)’s core work?,production and sale of plant saplings,locally led adaptation planning and pilots,legal counselling and rights awareness,self-learning worksheets and guided practice,B,locally led adaptation planning and pilots
CCP,Climate Change Programme (CCP),Which Sustainable Development Goal aligns BEST with Climate Change Programme (CCP)?,SDG 15: Life on Land,SDG 3: Good Health and Well-being,SDG 13: Climate Action,"SDG 9: Industry, Innovation and Infrastructure",C,SDG 13: Climate Action
CCP,Climate Change Programme (CCP),Climate Change Programme (CCP) operates primarily in which setting?,community and policy platforms,rural and peri-urban areas,rural and peri-urban,salinity- and flood-affected regions,D,salinity- and flood-affected regions
CCP,Climate Change Programme (CCP),Which indicator BEST reflects success for Climate Change Programme (CCP)?,youth participation and projects delivered,gender-responsive policies and practices,adoption of climate-resilient practices,households with preparedness plans and trained volunteers,C,adoption of climate-resilient practices
CCP,Climate Change Programme (CCP),Climate Change Programme (CCP) commonly partners with which stakeholders?,dairy farmers and retailers,local government and technical agencies,community groups and financial institutions,local government and programme clusters,B,local government and technical agencies
CCP,Climate Change Programme (CCP),What is the MAIN delivery channel used by Climate Change Programme (CCP)?,adaptation clinics and community workshops,work-based learning and certification,"clubs, bootcamps and events","edutainment, dialogues and community mobilisation",A,adaptation clinics and community workshops
CCP,Climate Change Programme (CCP),Which innovation is TYPICAL of Climate Change Programme (CCP)?,high-yield and stress-tolerant varieties,community early warning and contingency planning,automation and data-driven decision tools,salinity-smart practices and vulnerability mapping,D,salinity-smart practices and vulnerability mapping
CCP,Climate Change Programme (CCP),Which risk or challenge is Climate Change Programme (CCP) MOST concerned with?,low awareness and limited participation,limited pathways and underemployment,climate variability and slow-onset stresses,low seed quality and yield gaps,C,climate variability and slow-onset stresses
KUMON,BRAC Kumon Ltd.,Which area is MOST central to BRAC Kumon Ltd.?,supplementary education in maths and reading,gender justice and diversity,integrated rural development,primary and non-formal education,A,supplementary education in maths and reading
KUMON,BRAC Kumon Ltd.,Who are the primary participants/beneficiaries for BRAC Kumon Ltd.?,households and schools,ultra-poor households,hazard-exposed communities,school-age children,D,school-age children
KUMON,BRAC Kumon Ltd.,Which activity best matches BRAC Kumon Ltd.’s core work?,self-learning worksheets and guided practice,gender mainstreaming and training,advocacy campaigns and policy dialogue,community health workers and clinics,A,self-learning worksheets and guided practice
KUMON,BRAC Kumon Ltd.,Which Sustainable Development Goal aligns BEST with BRAC Kumon Ltd.?,SDG 4: Quality Education,SDG 11: Sustainable Cities and Communities,SDG 1: No Poverty,SDG 5: Gender Equality,A,SDG 4: Quality Education
KUMON,BRAC Kumon Ltd.,BRAC Kumon Ltd. operates primarily in which setting?,communities and health facilities,migration hubs and community centres,char/haor/remote areas,learning centres and home study,D,learning centres and home study
KUMON,BRAC Kumon Ltd.,Which indicator BEST reflects success for BRAC Kumon Ltd.?,households reached across multiple services,campaign reach and engagement,saplings sold and survival rates,progress through levels and improved numeracy/literacy,D,progress through levels and improved numeracy/literacy
KUMON,BRAC Kumon Ltd.,BRAC Kumon Ltd. commonly partners with which stakeholders?,local organisations and mentors,civil society and media,community groups and financial institutions,parents and instructors,D,parents and instructors
KUMON,BRAC Kumon Ltd.,What is the MAIN delivery channel used by BRAC Kumon Ltd.?,agro-dealer networks and demos,capacity building and advocacy,teachers’ training and learning materials,structured worksheets and feedback,D,structured worksheets and feedback
KUMON,BRAC Kumon Ltd.,Which innovation is TYPICAL of BRAC Kumon Ltd.?,evidence-led messaging and storytelling,tailored loan products and client-centric design,personalised pacing and mastery learning,salinity-smart practices and vulnerability mapping,C,personalised pacing and mastery learning
KUMON,BRAC Kumon Ltd.,Which risk or challenge is BRAC Kumon Ltd. MOST concerned with?,learning gaps and foundational skill deficits,urban disaster and infrastructure gaps,limited pathways and underemployment,low seed quality and yield gaps,A,learning gaps and foundational skill deficits
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which area is MOST central to Advocacy for Social Change (ASC) (Pool Fund)?,social behaviour change and citizen voice,humanitarian response and protection,saplings and horticulture,skills training and employability,A,social behaviour change and citizen voice
ASC,Advocacy for Social Change (ASC) (Pool Fund),Who are the primary participants/beneficiaries for Advocacy for Social Change (ASC) (Pool Fund)?,communities and grassroots groups,ultra-poor households,school-age children,hard-to-reach communities,A,communities and grassroots groups
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which activity best matches Advocacy for Social Change (ASC) (Pool Fund)’s core work?,community-based disaster preparedness and early warning,locally led adaptation planning and pilots,advocacy campaigns and policy dialogue,"milk collection, processing and distribution",C,advocacy campaigns and policy dialogue
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which Sustainable Development Goal aligns BEST with Advocacy for Social Change (ASC) (Pool Fund)?,"SDG 16: Peace, Justice and Strong Institutions",SDG 8: Decent Work and Economic Growth,SDG 1: No Poverty,SDG 15: Life on Land,A,"SDG 16: Peace, Justice and Strong Institutions"
ASC,Advocacy for Social Change (ASC) (Pool Fund),Advocacy for Social Change (ASC) (Pool Fund) operates primarily in which setting?,rural and urban learning spaces,community and policy platforms,"schools, campuses and communities",training centres and workplaces,B,community and policy platforms
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which indicator BEST reflects success for Advocacy for Social Change (ASC) (Pool Fund)?,campaign reach and engagement,adoption of climate-resilient practices,youth participation and projects delivered,sustained income and asset growth,A,campaign reach and engagement
ASC,Advocacy for Social Change (ASC) (Pool Fund),Advocacy for Social Change (ASC) (Pool Fund) commonly partners with which stakeholders?,"schools, parents and communities",civil society and media,hatcheries and extension providers,research institutes and dealers,B,civil society and media
ASC,Advocacy for Social Change (ASC) (Pool Fund),What is the MAIN delivery channel used by Advocacy for Social Change (ASC) (Pool Fund)?,demo ponds and advisory,"edutainment, dialogues and community mobilisation",community shalish and helplines,one-stop centres and outreach,B,"edutainment, dialogues and community mobilisation"
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which innovation is TYPICAL of Advocacy for Social Change (ASC) (Pool Fund)?,evidence-led messaging and storytelling,competency-based curricula and RPL,improved breeds and pond management,neighbourhood upgrading and co-designed service solutions,A,evidence-led messaging and storytelling
ASC,Advocacy for Social Change (ASC) (Pool Fund),Which risk or challenge is Advocacy for Social Change (ASC) (Pool Fund) MOST concerned with?,low survival and pest risks,climate variability and slow-onset stresses,low seed quality and yield gaps,low awareness and limited participation,D,low awareness and limited participation
MF,Microfinance,Which area is MOST central to Microfinance?,inclusive financial services,digital platforms and IT services,youth leadership and opportunities,primary health and community health systems,A,inclusive financial services
MF,Microfinance,Who are the primary participants/beneficiaries for Microfinance?,BRAC programmes and clients,women and vulnerable groups,low-income entrepreneurs,households and farmers,C,low-income entrepreneurs
MF,Microfinance,Which activity best matches Microfinance’s core work?,school support and learning centres,advocacy campaigns and policy dialogue,microloans and financial literacy,multi-sector services through one platform,C,microloans and financial literacy
MF,Microfinance,Which Sustainable Development Goal aligns BEST with Microfinance?,SDG 1: No Poverty,SDG 5: Gender Equality,SDG 2: Zero Hunger,SDG 8: Decent Work and Economic Growth,A,SDG 1: No Poverty
MF,Microfinance,Microfinance operates primarily in which setting?,flood- and cyclone-prone areas,rural and peri-urban areas,migration hubs and community centres,communities and health facilities,B,rural and peri-urban areas
MF,Microfinance,Which indicator BEST reflects success for Microfinance?,system uptime and user adoption,number of neighbourhoods with better services and governance,gender-responsive policies and practices,repayment rates and enterprise growth,D,repayment rates and enterprise growth
MF,Microfinance,Microfinance commonly partners with which stakeholders?,disaster management committees and volunteers,parents and instructors,community groups and financial institutions,city corporations and local government bodies,C,community groups and financial institutions
MF,Microfinance,What is the MAIN delivery channel used by Microfinance?,structured worksheets and feedback,"edutainment, dialogues and community mobilisation","apps, data systems and support desks",group meetings and field visits,D,group meetings and field visits
MF,Microfinance,Which innovation is TYPICAL of Microfinance?,competency-based curricula and RPL,high-yield and stress-tolerant varieties,salinity-smart practices and vulnerability mapping,tailored loan products and client-centric design,D,tailored loan products and client-centric design
MF,Microfinance,Which risk or challenge is Microfinance MOST concerned with?,income shocks and limited collateral,"cyclones, floods and storm surges","violence, exploitation and legal exclusion",water contamination and poor sanitation,A,income shocks and limited collateral
SELP,Social Empowerment and Legal Protection (SELP),Which area is MOST central to Social Empowerment and Legal Protection (SELP)?,primary and non-formal education,social empowerment and legal aid,migration support services,"water, sanitation and hygiene",B,social empowerment and legal aid
SELP,Social Empowerment and Legal Protection (SELP),Who are the primary participants/beneficiaries for Social Empowerment and Legal Protection (SELP)?,aspiring and returning migrants,BRAC programmes and clients,women and vulnerable groups,people affected by crises,C,women and vulnerable groups
SELP,Social Empowerment and Legal Protection (SELP),Which activity best matches Social Empowerment and Legal Protection (SELP)’s core work?,"clubs, volunteering and innovation challenges",TVET and apprenticeships,legal counselling and rights awareness,school support and learning centres,C,legal counselling and rights awareness
SELP,Social Empowerment and Legal Protection (SELP),Which Sustainable Development Goal aligns BEST with Social Empowerment and Legal Protection (SELP)?,SDG 13: Climate Action,SDG 6: Clean Water and Sanitation,SDG 15: Life on Land,SDG 5: Gender Equality,D,SDG 5: Gender Equality
SELP,Social Empowerment and Legal Protection (SELP),Social Empowerment and Legal Protection (SELP) operates primarily in which setting?,community justice and referral networks,community and policy platforms,nurseries and community spaces,"schools, campuses and communities",A,community justice and referral networks
SELP,Social Empowerment and Legal Protection (SELP),Which indicator BEST reflects success for Social Empowerment and Legal Protection (SELP)?,cases resolved and referrals supported,saplings sold and survival rates,number of neighbourhoods with better services and governance,literacy/numeracy gains and retention,A,cases resolved and referrals supported
SELP,Social Empowerment and Legal Protection (SELP),Social Empowerment and Legal Protection (SELP) commonly partners with which stakeholders?,internal programmes and tech partners,legal aid and protection services,"schools, parents and communities",dairy farmers and retailers,B,legal aid and protection services
SELP,Social Empowerment and Legal Protection (SELP),What is the MAIN delivery channel used by Social Empowerment and Legal Protection (SELP)?,coaching visits and group platforms,household visits and health campaigns,retail outlets and fairs,community shalish and helplines,D,community shalish and helplines
SELP,Social Empowerment and Legal Protection (SELP),Which innovation is TYPICAL of Social Empowerment and Legal Protection (SELP)?,paralegal support and safe referral systems,tailored loan products and client-centric design,evidence-led messaging and storytelling,improved breeds and pond management,A,paralegal support and safe referral systems
SELP,Social Empowerment and Legal Protection (SELP),Which risk or challenge is Social Empowerment and Legal Protection (SELP) MOST concerned with?,dropout and learning loss,"violence, exploitation and legal exclusion",limited pathways and underemployment,discrimination and harmful norms,B,"violence, exploitation and legal exclusion"
TECH,Technology Division,Which area is MOST central to Technology Division?,digital platforms and IT services,youth leadership and opportunities,social behaviour change and citizen voice,dairy processing and nutrition,A,digital platforms and IT services
TECH,Technology Division,Who are the primary participants/beneficiaries for Technology Division?,youth and jobseekers,BRAC programmes and clients,children and adolescents,people affected by crises,B,BRAC programmes and clients
TECH,Technology Division,Which activity best matches Technology Division’s core work?,building and maintaining digital systems,production and distribution of quality seed,multi-sector services through one platform,"milk collection, processing and distribution",A,building and maintaining digital systems
TECH,Technology Division,Which Sustainable Development Goal aligns BEST with Technology Division?,"SDG 9: Industry, Innovation and Infrastructure",SDG 1: No Poverty,SDG 8: Decent Work and Economic Growth,SDG 2: Zero Hunger,A,"SDG 9: Industry, Innovation and Infrastructure"
TECH,Technology Division,Technology Division operates primarily in which setting?,community justice and referral networks,nurseries and community spaces,rural and peri-urban areas,enterprise IT and field tech,D,enterprise IT and field tech
TECH,Technology Division,Which indicator BEST reflects success for Technology Division?,adoption of climate-resilient practices,number of neighbourhoods with better services and governance,system uptime and user adoption,job placement and earnings,C,system uptime and user adoption
TECH,Technology Division,Technology Division commonly partners with which stakeholders?,growers and local distributors,internal programmes and tech partners,"ministries, CSOs and networks",local government and technical agencies,B,internal programmes and tech partners
TECH,Technology Division,What is the MAIN delivery channel used by Technology Division?,"apps, data systems and support desks",retail outlets and fairs,cold chain and distribution networks,community sessions and WASH hardware,A,"apps, data systems and support desks"
TECH,Technology Division,Which innovation is TYPICAL of Technology Division?,diverse species and better propagation,integrated protection and basic services,automation and data-driven decision tools,fecal sludge management and hygiene nudges,C,automation and data-driven decision tools
TECH,Technology Division,Which risk or challenge is Technology Division MOST concerned with?,limited pathways and underemployment,low seed quality and yield gaps,dropout and learning loss,system downtime and data risks,D,system downtime and data risks
BEP,BRAC Education Programme (BEP),Which area is MOST central to BRAC Education Programme (BEP)?,saplings and horticulture,disaster risk reduction and preparedness,primary health and community health systems,primary and non-formal education,D,primary and non-formal education
BEP,BRAC Education Programme (BEP),Who are the primary participants/beneficiaries for BRAC Education Programme (BEP)?,children and adolescents,smallholder farmers and consumers,households and farmers,low-income urban residents,A,children and adolescents
BEP,BRAC Education Programme (BEP),Which activity best matches BRAC Education Programme (BEP)’s core work?,building and maintaining digital systems,school support and learning centres,"clubs, volunteering and innovation challenges",legal counselling and rights awareness,B,school support and learning centres
BEP,BRAC Education Programme (BEP),Which Sustainable Development Goal aligns BEST with BRAC Education Programme (BEP)?,SDG 15: Life on Land,SDG 2: Zero Hunger,SDG 4: Quality Education,"SDG 16: Peace, Justice and Strong Institutions",C,SDG 4: Quality Education
BEP,BRAC Education Programme (BEP),BRAC Education Programme (BEP) operates primarily in which setting?,camps and host communities,rural and urban learning spaces,rural and urban communities,training centres and workplaces,B,rural and urban learning spaces
BEP,BRAC Education Programme (BEP),Which indicator BEST reflects success for BRAC Education Programme (BEP)?,literacy/numeracy gains and retention,adoption of climate-resilient practices,people reached with timely support,number of neighbourhoods with better services and governance,A,literacy/numeracy gains and retention
BEP,BRAC Education Programme (BEP),BRAC Education Programme (BEP) commonly partners with which stakeholders?,parents and instructors,"schools, parents and communities",local government and programme clusters,growers and local distributors,B,"schools, parents and communities"
BEP,BRAC Education Programme (BEP),What is the MAIN delivery channel used by BRAC Education Programme (BEP)?,"clubs, bootcamps and events",community sessions and WASH hardware,teachers’ training and learning materials,agro-dealer networks and demos,C,teachers’ training and learning materials
BEP,BRAC Education Programme (BEP),Which innovation is TYPICAL of BRAC Education Programme (BEP)?,remedial education and playful learning,integrated protection and basic services,quality testing and value-added products,salinity-smart practices and vulnerability mapping,A,remedial education and playful learning
BEP,BRAC Education Programme (BEP),Which risk or challenge is BRAC Education Programme (BEP) MOST concerned with?,income shocks and limited collateral,dropout and learning loss,chronic poverty and shocks,"disease, water quality and input costs",B,dropout and learning loss
BYP,BRAC Youth Platform (BYP),Which area is MOST central to BRAC Youth Platform (BYP)?,integrated rural development,"water, sanitation and hygiene",climate adaptation and resilience,youth leadership and opportunities,D,youth leadership and opportunities
BYP,BRAC Youth Platform (BYP),Who are the primary participants/beneficiaries for BRAC Youth Platform (BYP)?,young people,"women, girls and marginalised groups",hard-to-reach communities,climate-vulnerable households,A,young people
BYP,BRAC Youth Platform (BYP),Which activity best matches BRAC Youth Platform (BYP)’s core work?,gender mainstreaming and training,multi-sector services through one platform,"clubs, volunteering and innovation challenges","information, counselling and linkage to services",C,"clubs, volunteering and innovation challenges"
BYP,BRAC Youth Platform (BYP),Which Sustainable Development Goal aligns BEST with BRAC Youth Platform (BYP)?,SDG 13: Climate Action,SDG 4: Quality Education,SDG 8: Decent Work and Economic Growth,"SDG 16: Peace, Justice and Strong Institutions",C,SDG 8: Decent Work and Economic Growth
BYP,BRAC Youth Platform (BYP),BRAC Youth Platform (BYP) operates primarily in which setting?,learning centres and home study,salinity- and flood-affected regions,flood- and cyclone-prone areas,"schools, campuses and communities",D,"schools, campuses and communities"
BYP,BRAC Youth Platform (BYP),Which indicator BEST reflects success for BRAC Youth Platform (BYP)?,households reached across multiple services,system uptime and user adoption,youth participation and projects delivered,gender-responsive policies and practices,C,youth participation and projects delivered
BYP,BRAC Youth Platform (BYP),BRAC Youth Platform (BYP) commonly partners with which stakeholders?,local organisations and mentors,"schools, parents and communities",industry and training providers,city corporations and local government bodies,A,local organisations and mentors
BYP,BRAC Youth Platform (BYP),What is the MAIN delivery channel used by BRAC Youth Platform (BYP)?,service centres and outreach,group meetings and field visits,one-stop centres and outreach,"clubs, bootcamps and events",D,"clubs, bootcamps and events"
BYP,BRAC Youth Platform (BYP),Which innovation is TYPICAL of BRAC Youth Platform (BYP)?,quality testing and value-added products,community early warning and contingency planning,youth-led solutions and peer learning,graduation approach and tailored coaching,C,youth-led solutions and peer learning
BYP,BRAC Youth Platform (BYP),Which risk or challenge is BRAC Youth Platform (BYP) MOST concerned with?,learning gaps and foundational skill deficits,low awareness and limited participation,climate variability and slow-onset stresses,limited pathways and underemployment,D,limited pathways and underemployment
WASH,"Water, Sanitation and Hygiene (WASH)","Which area is MOST central to Water, Sanitation and Hygiene (WASH)?","water, sanitation and hygiene",social empowerment and legal aid,saplings and horticulture,aquaculture and fisheries services,A,"water, sanitation and hygiene"
WASH,"Water, Sanitation and Hygiene (WASH)","Who are the primary participants/beneficiaries for Water, Sanitation and Hygiene (WASH)?",households and schools,"women, girls and marginalised groups",climate-vulnerable households,people affected by crises,A,households and schools
WASH,"Water, Sanitation and Hygiene (WASH)","Which activity best matches Water, Sanitation and Hygiene (WASH)’s core work?",safe water access and sanitation behaviour change,TVET and apprenticeships,multi-sector humanitarian assistance,"information, counselling and linkage to services",A,safe water access and sanitation behaviour change
WASH,"Water, Sanitation and Hygiene (WASH)","Which Sustainable Development Goal aligns BEST with Water, Sanitation and Hygiene (WASH)?",SDG 1: No Poverty,"SDG 9: Industry, Innovation and Infrastructure",SDG 5: Gender Equality,SDG 6: Clean Water and Sanitation,D,SDG 6: Clean Water and Sanitation
WASH,"Water, Sanitation and Hygiene (WASH)","Water, Sanitation and Hygiene (WASH) operates primarily in which setting?",rural and urban communities,salinity- and flood-affected regions,rural and peri-urban areas,learning centres and home study,A,rural and urban communities
WASH,"Water, Sanitation and Hygiene (WASH)","Which indicator BEST reflects success for Water, Sanitation and Hygiene (WASH)?",saplings sold and survival rates,safe water access and improved sanitation use,service uptake and health outcomes,sustained income and asset growth,B,safe water access and improved sanitation use
WASH,"Water, Sanitation and Hygiene (WASH)","Water, Sanitation and Hygiene (WASH) commonly partners with which stakeholders?","government, recruiters and service providers","schools, parents and communities",community groups and financial institutions,local government and entrepreneurs,D,local government and entrepreneurs
WASH,"Water, Sanitation and Hygiene (WASH)","What is the MAIN delivery channel used by Water, Sanitation and Hygiene (WASH)?",demo ponds and advisory,"clubs, bootcamps and events",service centres and outreach,community sessions and WASH hardware,D,community sessions and WASH hardware
WASH,"Water, Sanitation and Hygiene (WASH)","Which innovation is TYPICAL of Water, Sanitation and Hygiene (WASH)?",automation and data-driven decision tools,fecal sludge management and hygiene nudges,remedial education and playful learning,evidence-led messaging and storytelling,B,fecal sludge management and hygiene nudges
WASH,"Water, Sanitation and Hygiene (WASH)","Which risk or challenge is Water, Sanitation and Hygiene (WASH) MOST concerned with?",water contamination and poor sanitation,urban disaster and infrastructure gaps,service fragmentation and access barriers,climate variability and slow-onset stresses,A,water contamination and poor sanitation
IDP,Integrated Development Programme (IDP),Which area is MOST central to Integrated Development Programme (IDP)?,primary health and community health systems,integrated rural development,ultra-poverty graduation,agri-inputs and improved seed,B,integrated rural development
IDP,Integrated Development Programme (IDP),Who are the primary participants/beneficiaries for Integrated Development Programme (IDP)?,school-age children,low-income entrepreneurs,households and schools,hard-to-reach communities,D,hard-to-reach communities
IDP,Integrated Development Programme (IDP),Which activity best matches Integrated Development Programme (IDP)’s core work?,"milk collection, processing and distribution","sequenced support: assets, coaching and savings",multi-sector services through one platform,multi-sector humanitarian assistance,C,multi-sector services through one platform
