programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme (UDP),Easy,1,Which area is MOST central to Urban Development Programme (UDP)?,saplings and horticulture,ultra-poverty graduation,social behaviour change and citizen voice,urban services and inclusive city development,D,urban services and inclusive city development
UDP,Urban Development Programme (UDP),Easy,1,Who are the primary participants/beneficiaries for Urban Development Programme (UDP)?,people affected by crises,young people,low-income urban residents,women and vulnerable groups,C,low-income urban residents
UDP,Urban Development Programme (UDP),Easy,1,Which activity best matches Urban Development Programme (UDP)’s core work?,building and maintaining digital systems,school support and learning centres,self-learning worksheets and guided practice,improving access to basic services in informal settlements,D,improving access to basic services in informal settlements
UDP,Urban Development Programme (UDP),Medium,1.5,Which Sustainable Development Goal aligns BEST with Urban Development Programme (UDP)?,SDG 5: Gender Equality,SDG 11: Sustainable Cities and Communities,SDG 6: Clean Water and Sanitation,SDG 2: Zero Hunger,B,SDG 11: Sustainable Cities and Communities
UDP,Urban Development Programme (UDP),Medium,1.5,Urban Development Programme (UDP) operates primarily in which setting?,camps and host communities,cities and towns,agricultural regions,rural and urban learning spaces,B,cities and towns
UDP,Urban Development Programme (UDP),Medium,1.5,Which indicator BEST reflects success for Urban Development Programme (UDP)?,neighbourhoods with better services and governance,cases resolved and referrals supported,people reached with timely support,repayment rates and enterprise growth,A,neighbourhoods with better services and governance
UDP,Urban Development Programme (UDP),Hard,2.5,Urban Development Programme (UDP) commonly partners with which stakeholders?,local organisations and mentors,city corporations and local government bodies,local government and entrepreneurs,internal programmes and tech partners,B,city corporations and local government bodies
UDP,Urban Development Programme (UDP),Hard,2.5,What is the MAIN delivery channel used by Urban Development Programme (UDP)?,"edutainment, dialogues and community mobilisation",capacity building and advocacy,community platforms and ward-level forums,"apps, data systems and support desks",C,community platforms and ward-level forums
UDP,Urban Development Programme (UDP),Hard,2.5,Which innovation is TYPICAL of Urban Development Programme (UDP)?,diverse species and better propagation,neighbourhood upgrading and co-designed service solutions,salinity-smart practices and vulnerability mapping,community early warning and contingency planning,B,neighbourhood upgrading and co-designed service solutions
UDP,Urban Development Programme (UDP),Hard,2.5,Which risk or challenge is Urban Development Programme (UDP) MOST concerned with?,dropout and learning loss,urban disaster and infrastructure gaps,limited pathways and underemployment,"fraud, exploitation and misinformation",B,urban disaster and infrastructure gaps
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,Which area is MOST central to Disaster Risk Management Programme (DRMP)?,skills training and employability,disaster risk reduction and preparedness,digital platforms and IT services,urban services and inclusive city development,B,disaster risk reduction and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,Who are the primary participants/beneficiaries for Disaster Risk Management Programme (DRMP)?,ultra-poor households,farmers,hazard-exposed communities,households and schools,C,hazard-exposed communities
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,Which activity best matches Disaster Risk Management Programme (DRMP)’s core work?,self-learning worksheets and guided practice,school support and learning centres,community-based disaster preparedness and early warning,locally led adaptation planning and pilots,C,community-based disaster preparedness and early warning
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Which Sustainable Development Goal aligns BEST with Disaster Risk Management Programme (DRMP)?,SDG 13: Climate Action,SDG 4: Quality Education,SDG 6: Clean Water and Sanitation,"SDG 16: Peace, Justice and Strong Institutions",A,SDG 13: Climate Action
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Disaster Risk Management Programme (DRMP) operates primarily in which setting?,flood- and cyclone-prone areas,rural and peri-urban areas,enterprise IT and field tech,salinity- and flood-affected regions,A,flood- and cyclone-prone areas
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Which indicator BEST reflects success for Disaster Risk Management Programme (DRMP)?,progress through levels and improved numeracy/literacy,cases resolved and referrals supported,saplings sold and survival rates,households with preparedness plans and trained volunteers,D,households with preparedness plans and trained volunteers
DRMP,Disaster Risk Management Programme (DRMP),Hard,2.5,Disaster Risk Management Programme (DRMP) commonly partners with which stakeholders?,civil society and media,disaster management committees and volunteers,"UN agencies, NGOs and government","ministries, CSOs and networks",B,disaster management committees and volunteers
DRMP,Disaster Risk Management Programme (DRMP),Hard,2.5,What is the MAIN delivery channel used by Disaster Risk Management Programme (DRMP)?,"risk alerts, drills and training",service centres and outreach,community platforms and ward-level forums,household visits and health campaigns,A,"risk alerts, drills and training"
DRMP,Disaster Risk Management Programme (DRMP),Hard,2.5,Which innovation is TYPICAL of Disaster Risk Management Programme (DRMP)?,community early warning and contingency planning,co-located services and last-mile delivery,diverse species and better propagation,salinity-smart practices and vulnerability mapping,A,community early warning and contingency planning
DRMP,Disaster Risk Management Programme (DRMP),Hard,2.5,Which risk or challenge is Disaster Risk Management Programme (DRMP) MOST concerned with?,water contamination and poor sanitation,spoilage and price volatility,low survival and pest risks,"cyclones, floods and storm surges",D,"cyclones, floods and storm surges"
CCP,Climate Change Programme (CCP),Easy,1,Which area is MOST central to Climate Change Programme (CCP)?,agri-inputs and improved seed,digital platforms and IT services,humanitarian response and protection,climate adaptation and resilience,D,climate adaptation and resilience
CCP,Climate Change Programme (CCP),Easy,1,Who are the primary participants/beneficiaries for Climate Change Programme (CCP)?,young people,climate-vulnerable households,women and vulnerable groups,aspiring and returning migrants,B,climate-vulnerable households
CCP,Climate Change Programme (CCP),Easy,1,Which activity best matches Climate Change Programme (CCP)’s core work?,school support and learning centres,locally led adaptation planning and pilots,multi-sector humanitarian assistance,legal counselling and rights awareness,B,locally led adaptation planning and pilots
CCP,Climate Change Programme (CCP),Medium,1.5,Which Sustainable Development Goal aligns BEST with Climate Change Programme (CCP)?,"SDG 16: Peace, Justice and Strong Institutions",SDG 1: No Poverty,SDG 13: Climate Action,SDG 2: Zero Hunger,C,SDG 13: Climate Action
CCP,Climate Change Programme (CCP),Medium,1.5,Climate Change Programme (CCP) operates primarily in which setting?,agricultural regions,rural and urban communities,salinity- and flood-affected regions,institutions and communities,C,salinity- and flood-affected regions
CCP,Climate Change Programme (CCP),Medium,1.5,Which indicator BEST reflects success for Climate Change Programme (CCP)?,service uptake and health outcomes,adoption of climate-resilient practices,youth participation and projects delivered,job placement and earnings,B,adoption of climate-resilient practices
CCP,Climate Change Programme (CCP),Hard,2.5,Climate Change Programme (CCP) commonly partners with which stakeholders?,"schools, parents and communities",local government and technical agencies,local organisations and mentors,research institutes and dealers,B,local government and technical agencies
CCP,Climate Change Programme (CCP),Hard,2.5,What is the MAIN delivery channel used by Climate Change Programme (CCP)?,one-stop centres and outreach,capacity building and advocacy,adaptation clinics and community workshops,work-based learning and certification,C,adaptation clinics and community workshops
CCP,Climate Change Programme (CCP),Hard,2.5,Which innovation is TYPICAL of Climate Change Programme (CCP)?,competency-based curricula and RPL,salinity-smart practices and vulnerability mapping,pre-departure orientation and referrals,tailored loan products and client-centric design,B,salinity-smart practices and vulnerability mapping
CCP,Climate Change Programme (CCP),Hard,2.5,Which risk or challenge is Climate Change Programme (CCP) MOST concerned with?,low seed quality and yield gaps,discrimination and harmful norms,climate variability and slow-onset stresses,"fraud, exploitation and misinformation",C,climate variability and slow-onset stresses
KUMON,BRAC Kumon Ltd.,Easy,1,Which area is MOST central to BRAC Kumon Ltd.?,integrated rural development,migration support services,"water, sanitation and hygiene",supplementary education in maths and reading,D,supplementary education in maths and reading
KUMON,BRAC Kumon Ltd.,Easy,1,Who are the primary participants/beneficiaries for BRAC Kumon Ltd.?,communities and grassroots groups,fish farmers and value chain actors,low-income entrepreneurs,school-age children,D,school-age children
KUMON,BRAC Kumon Ltd.,Easy,1,Which activity best matches BRAC Kumon Ltd.’s core work?,"clubs, volunteering and innovation challenges",self-learning worksheets and guided practice,locally led adaptation planning and pilots,TVET and apprenticeships,B,self-learning worksheets and guided practice
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which Sustainable Development Goal aligns BEST with BRAC Kumon Ltd.?,SDG 4: Quality Education,SDG 2: Zero Hunger,SDG 5: Gender Equality,"SDG 16: Peace, Justice and Strong Institutions",A,SDG 4: Quality Education
KUMON,BRAC Kumon Ltd.,Medium,1.5,BRAC Kumon Ltd. operates primarily in which setting?,cities and towns,institutions and communities,camps and host communities,learning centres and home study,D,learning centres and home study
KUMON,BRAC Kumon Ltd.,Medium,1.5,Which indicator BEST reflects success for BRAC Kumon Ltd.?,households with preparedness plans and trained volunteers,saplings sold and survival rates,progress through levels and improved numeracy/literacy,yields and farmer income,C,progress through levels and improved numeracy/literacy
KUMON,BRAC Kumon Ltd.,Hard,2.5,BRAC Kumon Ltd. commonly partners with which stakeholders?,"government, recruiters and service providers",parents and instructors,legal aid and protection services,research institutes and dealers,B,parents and instructors
KUMON,BRAC Kumon Ltd.,Hard,2.5,What is the MAIN delivery channel used by BRAC Kumon Ltd.?,community platforms and ward-level forums,capacity building and advocacy,demo ponds and advisory,structured worksheets and feedback,D,structured worksheets and feedback
KUMON,BRAC Kumon Ltd.,Hard,2.5,Which innovation is TYPICAL of BRAC Kumon Ltd.?,salinity-smart practices and vulnerability mapping,personalised pacing and mastery learning,paralegal support and safe referral systems,high-yield and stress-tolerant varieties,B,personalised pacing and mastery learning
KUMON,BRAC Kumon Ltd.,Hard,2.5,Which risk or challenge is BRAC Kumon Ltd. MOST concerned with?,service fragmentation and access barriers,"fraud, exploitation and misinformation",preventable illness and access gaps,learning gaps and foundational skill deficits,D,learning gaps and foundational skill deficits
ASC,Advocacy for Social Change (ASC) (Pool Fund),Easy,1,Which area is MOST central to Advocacy for Social Change (ASC) (Pool Fund)?,digital platforms and IT services,supplementary education in maths and reading,social behaviour change and citizen voice,saplings and horticulture,C,social behaviour change and citizen voice
