programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme,easy,1,Nudge বলতে কী বোঝায়?,এমন কড়া নিয়ম যা সবাইকে মানতেই হবে,পছন্দ দেখানোর ধরনে ছোট্ট ঠেলা বা হালকা প্রভাব,ভালো আচরণের জন্য পুরস্কার,খারাপ কাজের জন্য জোরে দোষারোপ,B,পছন্দ দেখানোর ধরনে ছোট্ট ঠেলা বা হালকা প্রভাব
UDP,Urban Development Programme,easy,1,"এক দোকানে দুইটা সাইন টাঙানো আছে: “আবর্জনা ফেললে জরিমানা ২০০ টাকা” আর “আমাদের বেশিরভাগ ক্রেতা এখন ডাস্টবিন ব্যবহার করেন, ধন্যবাদ!” — কোন সাইনটা Nudge–এর মতো?",শুধু প্রথম সাইন,শুধু দ্বিতীয় সাইন,"দুটোই, একইভাবে",কোনোটাই না,B,শুধু দ্বিতীয় সাইন
UDP,Urban Development Programme,easy,1,কোন অভ্যাস নদী–সমুদ্রকে পরিষ্কার রাখতে সাহায্য করে?,ড্রেনে আবর্জনা ফেলে দেওয়া,খোলা আকাশের নিচে প্লাস্টিক পোড়ানো,সব ধরনের ময়লা এক ডাস্টবিনে ফেলা,প্লাস্টিক আলাদা করে ঠিক ডাস্টবিনে ফেলা,D,প্লাস্টিক আলাদা করে ঠিক ডাস্টবিনে ফেলা
UDP,Urban Development Programme,easy,1,পানিতে ভাসমান বাধা (ফ্লোটিং ব্যারিয়ার) কী কাজ করে?,সব নৌকা আর মাছ চলাচল বন্ধ করে দেয়,ছবি তোলার জন্য পানির ওপর সাজানো দাগ বানায়,ভাসমান প্লাস্টিক ধরে ও নির্দিষ্ট দিকে চালিয়ে দেয়,নদীকে আলাদা লেনে ভাগ করে দেয়,C,ভাসমান প্লাস্টিক ধরে ও নির্দিষ্ট দিকে চালিয়ে দেয়
UDP,Urban Development Programme,easy,1,"ঠিক ডাস্টবিনে একটা বোতল ফেললে, আমরা চাই এর যাত্রাটা কেমন হোক?","ডাস্টবিন থেকে বাছাই, রিসাইক্লিং, তারপর নতুন পণ্য",ডাস্টবিন থেকে শুধু স্টোর রুমে,"ডাস্টবিন থেকে মিক্সড ল্যান্ডফিলে, গর্তে চাপা","ডাস্টবিন থেকে পোড়ানোর চুল্লিতে, ধোঁয়া হয়ে আকাশে",A,"ডাস্টবিন থেকে বাছাই, রিসাইক্লিং, তারপর নতুন পণ্য"
UDP,Urban Development Programme,easy,1,নতুন প্লাস্টিকের বদলে রিসাইকেল করা প্লাস্টিক ব্যবহার করলে সাধারণত কী হয়?,তেল–গ্যাসের ওপর চাপ বাড়ে,প্রাকৃতিক সম্পদ আহরণের ওপর কোনও প্রভাব পড়ে না,বর্জ্য নিয়ন্ত্রণ আরও কঠিন হয়,নতুন প্লাস্টিক বানানোর প্রয়োজন কমে,D,নতুন প্লাস্টিক বানানোর প্রয়োজন কমে
UDP,Urban Development Programme,medium,1.5,কোন পরিবর্তনটা ক্যান্টিনে করলে সেটাকে Nudge বলা যাবে না?,“প্লাস্টিক স্ট্র নেব না” অপশনটা ডিফল্ট করে দেওয়া,ছোট্ট নোট যোগ করা: “আমাদের বেশিরভাগ অতিথি এখন প্লাস্টিক স্ট্র নেন না”,সব কাপ সরিয়ে দিয়ে সবাইকে হাতে করে পানি খেতে বাধ্য করা,"প্লাস্টিক স্ট্র কাউন্টারের পেছনে রাখা, চাইলে দেওয়া",C,সব কাপ সরিয়ে দিয়ে সবাইকে হাতে করে পানি খেতে বাধ্য করা
UDP,Urban Development Programme,medium,1.5,"শিক্ষার্থীরা “ক্লিন বিচ কার্ড” বানাল, ঠিক ডাস্টবিনে ফেললে একটা স্ট্যাম্প, ৫টা স্ট্যাম্প হলে ফ্রি নারিকেল — এটা কেন শক্তিশালী একটি নাজ?",ছোট পুরস্কার আর চোখে দেখা যায় এমন অগ্রগতি দেখায়,প্রতি স্ট্যাম্পের পর লম্বা লেকচার দেওয়া যায়,কার্ড পরে চেক করবে এই ভয়ে কাজ হয়,নিয়মগুলো এমনভাবে জটিল করা যায়,A,ছোট পুরস্কার আর চোখে দেখা যায় এমন অগ্রগতি দেখায়
UDP,Urban Development Programme,medium,1.5,প্লাস্টিক আটকানোর ব্যারিয়ার ডিজাইন করার সময় মাছ আর কচ্ছপের কথা ভাবা কেন জরুরি?,কারণ নদী সবচেয়ে ভালো চলে যখন ভেতরে কোনও প্রাণী থাকে না,কারণ আসলে মাছ ধরা–ই ব্যারিয়ারের মূল উদ্দেশ্য,কারণ বন্যপ্রাণী কখনও ভাসমান জিনিসের সঙ্গে ধাক্কা খায় না,"কারণ প্লাস্টিক আটকাতে হবে, প্রাণী নয়",D,"কারণ প্লাস্টিক আটকাতে হবে, প্রাণী নয়"
UDP,Urban Development Programme,medium,1.5,আমরা কেন বলি ব্যারিয়ার একটা “ইন্টারসেপশন” সমাধান?,নতুন বর্জ্য তৈরি করে যাতে ডেটা পাওয়া যায়,নদীতে থাকা প্লাস্টিক সমুদ্রে যাওয়ার আগে পথে আটকে দেয়,"কেবল তখন কাজ করে, যখন প্লাস্টিক সমুদ্রে চলে যায়",কেবল সমুদ্রে থাকা প্লাস্টিকের ওপর কাজ করে,B,নদীতে থাকা প্লাস্টিক সমুদ্রে যাওয়ার আগে পথে আটকে দেয়
