programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme (UDP),Easy,1,Which area is MOST central to Urban Development Programme (UDP)?,saplings and horticulture,ultra-poverty graduation,social behaviour change and citizen voice,urban services and inclusive city development,D,urban services and inclusive city development
UDP,Urban Development Programme (UDP),Easy,1,Who are the primary participants/beneficiaries for Urban Development Programme (UDP)?,people affected by crises,young people,low-income urban residents,women and vulnerable groups,C,low-income urban residents
UDP,Urban Development Programme (UDP),Easy,1,Which activity best matches Urban Development Programme (UDP)’s core work?,building and maintaining digital systems,school support and learning centres,self-learning worksheets and guided practice,improving access to basic services in informal settlements,D,improving access to basic services in informal settlements
UDP,Urban Development Programme (UDP),Medium,1.5,Which Sustainable Development Goal aligns BEST with Urban Development Programme (UDP)?,SDG 5: Gender Equality,SDG 11: Sustainable Cities and Communities,SDG 6: Clean Water and Sanitation,SDG 2: Zero Hunger,B,SDG 11: Sustainable Cities and Communities
UDP,Urban Development Programme (UDP),Medium,1.5,Urban Development Programme (UDP) operates primarily in which setting?,camps and host communities,cities and towns,agricultural regions,rural and urban learning spaces,B,cities and towns
UDP,Urban Development Programme (UDP),Medium,1.5,Which indicator BEST reflects success for Urban Development Programme (UDP)?,neighbourhoods with better services and governance,cases resolved and referrals supported,people reached with timely support,repayment rates and enterprise growth,A,neighbourhoods with better services and governance
UDP,Urban Development Programme (UDP),Hard,2,Urban Development Programme (UDP) commonly partners with which stakeholders?,local organisations and mentors,city corporations and local government bodies,local government and entrepreneurs,internal programmes and tech partners,B,city corporations and local government bodies
UDP,Urban Development Programme (UDP),Hard,2,What is the MAIN delivery channel used by Urban Development Programme (UDP)?,"edutainment, dialogues and community mobilisation",capacity building and advocacy,community platforms and ward-level forums,"apps, data systems and support desks",C,community platforms and ward-level forums
UDP,Urban Development Programme (UDP),Hard,2,Which innovation is TYPICAL of Urban Development Programme (UDP)?,diverse species and better propagation,neighbourhood upgrading and co-designed service solutions,salinity-smart practices and vulnerability mapping,community early warning and contingency planning,B,neighbourhood upgrading and co-designed service solutions
UDP,Urban Development Programme (UDP),Hard,2,Which risk or challenge is Urban Development Programme (UDP) MOST concerned with?,dropout and learning loss,urban disaster and infrastructure gaps,limited pathways and underemployment,"fraud, exploitation and misinformation",B,urban disaster and infrastructure gaps
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What is the main purpose of the Lightning Shed innovation?,To provide a place for storing crops,To give safe shelter during lightning and floods,To collect rainwater for irrigation,To promote tree plantation,B,To give safe shelter during lightning and floods
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,When do lightning strikes occur most frequently in Bangladesh?,Winter season,Pre-monsoon and monsoon seasons,Autumn season,Late winter,B,Pre-monsoon and monsoon seasons
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What is one simple community-based solution to reduce lightning casualties?,Organizing lightning awareness sessions,Playing music loudly,Using umbrellas in open fields,Closing schools during summer,A,Organizing lightning awareness sessions
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,Who can play an important role in spreading early warning messages in community level?,Community volunteers and local leaders,Only government officials,Only teachers,Only media persons,A,Community volunteers and local leaders
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What should people avoid touching during a thunderstorm?,Wooden doors,Metal objects and electrical appliances,Books,Clothes,B,Metal objects and electrical appliances
DRMP,Disaster Risk Management Programme (DRMP),Easy,1,What safety feature is included in the lightning protection shed?,Lightning conductor,Water pump,Solar light,Fire extinguisher,A,Lightning conductor
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Who monitors the water levels in the community flood forecasting system?,Local government officials,School teachers,Community volunteers,Farmers,C,Community volunteers
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What do we mean by a Community Flood Gauge?,A device/structure for lightning warning,A device/structure for earthquake warning,A device/structure for cyclone warning,A device/structure for flood warning,D,A device/structure for flood warning
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,In which type of region is it most appropriate to install a Community Flood Gauge?,Cyclone-prone areas,Hilly regions,Drought-prone areas,Haor (wetland) areas,D,Haor (wetland) areas
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What is the main purpose of a Community Flood Gauge?,For constructing railway lines,For earthquake preparedness,For assessing flood damage,For flood warning dissemination and preparedness,D,For flood warning dissemination and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,Which BRAC programme has installed the Community Flood Gauge?,Climate Change Programme,Microfinance Programme,Urban Development Programme,Disaster Risk Management Programme,D,Disaster Risk Management Programme
DRMP,Disaster Risk Management Programme (DRMP),Medium,1.5,What color codes are used in the BRAC-installed Community Flood Gauge?,"Red, Blue, Yellow","Green, Yellow, Red","White, Red, Blue","Magenta, Red, Yellow",B,"Green, Yellow, Red"
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which problem does the livestock shelter primarily address?,Crop failure,Livestock loss during floods,Drought,River pollution,B,Livestock loss during floods
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which of the following is a community-based early warning tool?,Lightning conductor,Community flood gauge,Bondhu Tori boat,Livestock shelter,B,Community flood gauge
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,How does a community-based early warning system help the community?,Ignoring warnings,Efficient evacuation and preparedness,Building dams by themselves,Predicting earthquakes,B,Efficient evacuation and preparedness
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Which is an effective way to increase community awareness about early warning system?,Conducting training and drills,Ignoring early warnings,Posting random signs in the river,Relying only on social media rumors,A,Conducting training and drills
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,Why do people hesitate to go to shelters during floods?,The shelter is too far,Lack of food,They do not want to leave their livestock behind,Water is too strong,C,They do not want to leave their livestock behind
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,"Besides keeping livestock safe, why is this shelter important?",Expanding education,Protecting livelihoods and assets,Producing new crops,Improving irrigation,B,Protecting livelihoods and assets
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,What is the main reason for high farmer deaths due to lightning in Bangladesh?,Farmers working at night,Lack of lightning protection in agricultural fields,Use of unsafe equipment,Heavy rainfall,B,Lack of lightning protection in agricultural fields
DRMP,Disaster Risk Management Programme (DRMP),Hard,2,"Besides lightning protection, what other hazard does the shelter protect people from?",Heavy rainfall,Extreme heat/heatwaves,Flooding,Cyclones,B,Extreme heat/heatwaves
CCP,Climate Change Programme (CCP),Easy,1,"What types of trees are planted in ""Amar Bon""?",Only timber trees,"Timber, fruit, and medicinal trees",Only fruit trees,Only ornamental plants,B,"Timber, fruit, and medicinal trees"
CCP,Climate Change Programme (CCP),Easy,1,"What is a key feature of the ""Amar Bon"" model?",It uses monoculture farming,It uses a mix of indigenous tree species,It focuses on urban tree planting,It relies on chemical pesticides,B,It uses a mix of indigenous tree species
CCP,Climate Change Programme (CCP),Easy,1,"What is the main purpose of the ""Adaptation Clinic""?",To provide food aid to farmers,To help farmers adopt climate-smart agricultural practices,To offer health care to rural communities,To construct new roads for farmers,B,To help farmers adopt climate-smart agricultural practices
CCP,Climate Change Programme (CCP),Easy,1,"Who primarily benefits from the services of the ""Adaptation Clinic""?",Urban businesses,Climate-vulnerable farmers,Children in cities,Large-scale agricultural companies,B,Climate-vulnerable farmers
CCP,Climate Change Programme (CCP),Easy,1,"What type of energy does the ""Ponkhiraj"" irrigation system use?",Fossil fuels,Solar energy,Wind energy,Biomass energy,B,Solar energy
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the goal of the ""Amar Bon"" project?",To plant mixed species of trees for climate resilience,To build greenhouses for crops,To construct roads in rural areas,To grow rice in fallow lands,A,To plant mixed species of trees for climate resilience
CCP,Climate Change Programme (CCP),Medium,1.5,"Which type of land does the ""Amar Bon"" project rehabilitate?",Fertile agricultural land,Fallow and unused land,Urban land for parks,Wetlands for flood management,B,Fallow and unused land
CCP,Climate Change Programme (CCP),Medium,1.5,"How does ""Amar Bon"" contribute to climate change mitigation?",By absorbing carbon dioxide through tree planting,By building large dams for water storage,By using chemical fertilisers,By providing solar power to farms,A,By absorbing carbon dioxide through tree planting
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the main purpose of the ""Rainwater Harvesting System""?",To increase agricultural yields,To collect and store rainwater for safe drinking,To create recreational water bodies,To purify industrial water,B,To collect and store rainwater for safe drinking
CCP,Climate Change Programme (CCP),Medium,1.5,"How does the ""Rainwater Harvesting System"" help rural communities?",It provides a reliable water source during the dry season,It generates electricity from water,It improves crop yields,It builds new irrigation canals,A,It provides a reliable water source during the dry season
CCP,Climate Change Programme (CCP),Medium,1.5,"How many filters are there for the ""Rainwater Harvesting System""?",2,4,1,3,A,2
CCP,Climate Change Programme (CCP),Medium,1.5,"What type of community does the ""Rainwater Harvesting System"" primarily benefit?",Rural communities with water scarcity,Urban centres with good infrastructure,Industrial zones with high water usage,Wealthy neighbourhoods,A,Rural communities with water scarcity
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the key approach of the ""Adaptation Clinic""?",Large-scale industrial farming,"Local, context-specific climate adaptation",Relying on imported seeds and fertilisers,Exclusively promoting irrigation systems,B,"Local, context-specific climate adaptation"
CCP,Climate Change Programme (CCP),Medium,1.5,"What is the main function of the ""Ponkhiraj"" system?",To filter water for drinking,To provide solar-powered irrigation for farming,To generate electricity for homes,To process soil for agriculture,B,To provide solar-powered irrigation for farming
CCP,Climate Change Programme (CCP),Medium,1.5,"Who benefits the most from the ""Ponkhiraj"" mobile irrigation system?",Large corporations,Urban centres,Small-scale farmers in rural areas,Government agencies,C,Small-scale farmers in rural areas
