programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme,easy,1,Nudge বলতে কী বোঝায়?,এমন কড়া নিয়ম যা সবাইকে মানতেই হবে,পছন্দ দেখানোর ধরনে ছোট্ট ঠেলা বা হালকা প্রভাব,ভালো আচরণের জন্য পুরস্কার,খারাপ কাজের জন্য জোরে দোষারোপ,B,পছন্দ দেখানোর ধরনে ছোট্ট ঠেলা বা হালকা প্রভাব
UDP,Urban Development Programme,easy,1,একটি চায়ের দোকান দুইটি সাইন ঝুলিয়েছে:সাইন ১: “ময়লা ফেললে জরিমানা ২০০ টাকা”সাইন ২: “আমাদের বেশিরভাগ ক্রেতা এখন ডাস্টবিন ব্যবহার করেন। ধন্যবাদ!”এর মধ্যে কোন সাইনটিকে বেশি “nudge” বলা যায়?,শুধু প্রথম সাইন,শুধু দ্বিতীয় সাইন,"দুটোই, একইভাবে",কোনোটাই না,B,শুধু দ্বিতীয় সাইন
UDP,Urban Development Programme,easy,1,কোন অভ্যাসটি নদী ও সাগরকে পরিষ্কার রাখতে সাহায্য করে?,ড্রেনে আবর্জনা ফেলে দেওয়া,খোলা আকাশের নিচে প্লাস্টিক পোড়ানো,সব ধরনের ময়লা এক ডাস্টবিনে ফেলা,প্লাস্টিক আলাদা করে ঠিক ডাস্টবিনে ফেলা,D,প্লাস্টিক আলাদা করে ঠিক ডাস্টবিনে ফেলা
UDP,Urban Development Programme,easy,1,পানির মধ্যে ভাসমান barrier কী কাজ করে?,সব নৌকা আর মাছ চলাচল বন্ধ করে দেয়,ছবি তোলার জন্য পানির ওপর সাজানো দাগ বানায়,ভাসমান প্লাস্টিক ধরে ও নির্দিষ্ট দিকে চালিয়ে দেয়,নদীকে আলাদা লেনে ভাগ করে দেয়,C,ভাসমান প্লাস্টিক ধরে ও নির্দিষ্ট দিকে চালিয়ে দেয়
UDP,Urban Development Programme,easy,1,"আপনি যখন বোতলটি সঠিক ডাস্টবিনে ফেলেন, তখন আমরা চাই সেই বোতলটি কী ধরনের যাত্রা করুক?","ডাস্টবিন থেকে বাছাই, রিসাইক্লিং, তারপর নতুন পণ্য",ডাস্টবিন থেকে শুধু স্টোর রুমে,"ডাস্টবিন থেকে মিক্সড ল্যান্ডফিলে, গর্তে চাপা","ডাস্টবিন থেকে পোড়ানোর চুল্লিতে, ধোঁয়া হয়ে আকাশে",A,"ডাস্টবিন থেকে বাছাই, রিসাইক্লিং, তারপর নতুন পণ্য"
UDP,Urban Development Programme,easy,1,নতুন প্লাস্টিকের বদলে পুনর্ব্যবহৃত প্লাস্টিক ব্যবহার করলে সাধারণত কী হয়?,তেল–গ্যাসের ওপর চাপ বাড়ে,প্রাকৃতিক সম্পদ আহরণের ওপর কোনও প্রভাব পড়ে না,বর্জ্য নিয়ন্ত্রণ আরও কঠিন হয়,নতুন প্লাস্টিক বানানোর প্রয়োজন কমে,D,নতুন প্লাস্টিক বানানোর প্রয়োজন কমে
UDP,Urban Development Programme,medium,1.5,ক্যান্টিনে নিচের কোন পরিবর্তনটি আচরণগত nudge–এর মতো সবচেয়ে কম বলা যায়?,“প্লাস্টিক স্ট্র নেব না” অপশনটা ডিফল্ট করে দেওয়া,ছোট্ট নোট যোগ করা: “আমাদের বেশিরভাগ অতিথি এখন প্লাস্টিক স্ট্র নেন না”,সব কাপ সরিয়ে দিয়ে সবাইকে হাতে করে পানি খেতে বাধ্য করা,"প্লাস্টিক স্ট্র কাউন্টারের পেছনে রাখা, চাইলে দেওয়া",C,সব কাপ সরিয়ে দিয়ে সবাইকে হাতে করে পানি খেতে বাধ্য করা
UDP,Urban Development Programme,medium,1.5,"শিক্ষার্থীরা “Clean Beach Card” বানাল। প্রতি বার ঠিকমতো ডাস্টবিন ব্যবহার করলে একটি স্ট্যাম্প, পাঁচটি স্ট্যাম্প হলে একটি নারিকেল ফ্রি। এই উদ্যোগটিকে শক্তিশালী করে তোলে কী?",ছোট পুরস্কার আর চোখে দেখা যায় এমন অগ্রগতি দেখায়,প্রতি স্ট্যাম্পের পর লম্বা লেকচার দেওয়া যায়,কার্ড পরে চেক করবে এই ভয়ে কাজ হয়,নিয়মগুলো এমনভাবে জটিল করা যায়,A,ছোট পুরস্কার আর চোখে দেখা যায় এমন অগ্রগতি দেখায়
UDP,Urban Development Programme,medium,1.5,barrier বা বাঁধ ডিজাইন করার সময় মাছ এবং কচ্ছপের কথা কেন ভাবা উচিত?,কারণ নদী সবচেয়ে ভালো চলে যখন ভেতরে কোনও প্রাণী থাকে না,কারণ আসলে মাছ ধরা–ই ব্যারিয়ারের মূল উদ্দেশ্য,কারণ বন্যপ্রাণী কখনও ভাসমান জিনিসের সঙ্গে ধাক্কা খায় না,"কারণ প্লাস্টিক আটকাতে হবে, প্রাণী নয়",D,"কারণ প্লাস্টিক আটকাতে হবে, প্রাণী নয়"
UDP,Urban Development Programme,medium,1.5,আমরা কেন বলি যে এই barrier একটি “interception” ধরণের সমাধান?,নতুন বর্জ্য তৈরি করে যাতে ডেটা পাওয়া যায়,নদীতে থাকা প্লাস্টিক সমুদ্রে যাওয়ার আগে পথে আটকে দেয়,"কেবল তখন কাজ করে, যখন প্লাস্টিক সমুদ্রে চলে যায়",কেবল সমুদ্রে থাকা প্লাস্টিকের ওপর কাজ করে,B,নদীতে থাকা প্লাস্টিক সমুদ্রে যাওয়ার আগে পথে আটকে দেয়
