programme_code,programme_name,difficulty,weight,question,option_A,option_B,option_C,option_D,answer_letter,answer_text
UDP,Urban Development Programme (UDP),Easy,1,What is Nudge? ,Strict rule people must follow,Small push in how choices are shown,Reward for good behaviour,Loud speech blaming others for bad practices,B,Small push in how choices are shown
UDP,Urban Development Programme (UDP),Easy,1,"A tea stall puts up two signs:

Sign 1: “Fine 200 BDT for littering”

Sign 2: “Most of our customers now use the bin. Thank you!”
Which sign is more like a nudge?",Only Sign 1,Only Sign 2,"Both, in the same way",Neither,B,Only Sign 2
UDP,Urban Development Programme (UDP),Easy,1,Which habit helps keep rivers and seas clean?,Throwing waste in drains,Burning plastic openly,Using one bin for all types of waste,Segregate plastic and putting it in the right bin,D,Segregate plastic and putting it in the right bin
UDP,Urban Development Programme (UDP),Easy,1,What is the floating barrier  do in a waterbody?,Stop all boats and fish fusing the way,Make pretty stripes on the water for photos,Catch and guide floated plastic towards,Separate the river into lanes for multiple paths,C,Catch and guide floated plastic towards
UDP,Urban Development Programme (UDP),Easy,1,"When you drop a bottle in the right bin, what journey do we want it to take?",From bin to sorting to recycling to new product,From bin to storage ,From bin to mixed landfill to hidden deep pits,From bin to open burning to smoky evening air,A,From bin to sorting to recycling to new product
UDP,Urban Development Programme (UDP),Easy,1,Using recycled plastic instead of virgin plastic generally -,Increases pressure on oil and gas,Has no effect on resource extraction,Makes waste control more difficult,Reduces the need to produce new plastic,D,Reduces the need to produce new plastic
UDP,Urban Development Programme (UDP),Medium,1.5,Which change in a canteen is least like a behavioural nudge?,Automatically making the “no plastic straw” option the default choice,Adding a small note: “Most guests say no to plastic straws now”,Physically removing all cups and forcing everyone to drink by hand,Hiding plastic straws behind the counter but still allowing requests,C,Physically removing all cups and forcing everyone to drink by hand
UDP,Urban Development Programme (UDP),Medium,1.5,Students design a “Clean Beach Card.” Every correct bin use gets a stamp; five stamps earn a free coconut. What makes this powerful?,Small rewards and visible progress tracking,Long lectures after each stamp,Fear that cards will be checked later,Confusing rules about extra stamps,A,Students design a “Clean Beach Card.” Every correct bin use gets a stamp; five stamps earn a free coconut. What makes this powerful?
UDP,Urban Development Programme (UDP),Medium,1.5,Why should barrier designers think about fish and turtles when planning the system?,Because rivers work best with no life inside them,Because catching fish is the real goal of barriers,Because wildlife never interacts with floating objects,"Because plastic should be stopped, not living creatures",D,"Because plastic should be stopped, not living creatures"
UDP,Urban Development Programme (UDP),Medium,1.5,Why do we say the barrier is an “interception” solution?,It creates waste so that data can be collected,It catches waste in the river before it reaches the sea,It works only after plastic reaches open ocean,It works only after plastic reaches open ocean,B,It catches waste in the river before it reaches the sea
